Shoppers Pharmacy,College Park,4720 Cherry Hill Road 
Shoppers Pharmacy,Clinton,6300 Coventry Way 
Shoppers Pharmacy,New Carrollton,7790 Riverdale Road 
Shoppers Pharmacy,Oxon Hill,6111 Livingston Road 
Shoppers Pharmacy,Forestville,2950 Donnell Drive 
Shoppers Pharmacy,Laurel,13600 Baltimore Avenue 
Supreme Pharmacy And Medical Supplies Pharmacy,Glenarden,7936 Johnson Avenue 
Target Pharmacy,Bowie,4600 Mitchellville Road 
Target Pharmacy,Kettering,10500 Campus Way South 
Target Pharmacy,Brandywine,15922 Crain Highway 
Target Pharmacy,Bowie,10401 Martin Luther King Junior Highway 
Target Pharmacy,District Heights,3101 Donnell Drive 
Target Pharmacy,Greenbelt,6100 Greenbelt Road 
Target Pharmacy,Hyattsville,3500 East-West Highway 
The Medicine Shoppe Pharmacy,Camp Springs,7053 Allentown Road 
Twins Care Pharmacy,College Park,6201 Greenbelt Road 
Walgreens Pharmacy,Clinton,9001 Woody Terrace 
Walmart Pharmacy,Landover Hills,6210 Annapolis Road 
Walmart Pharmacy,Clinton,8745 Branch Avenue 
Walmart Pharmacy,Bowie,3300 Crain Highway 
